"id_site","code_module","code_presentation","activity_type","week_from","week_to"
"546943","AAA","2013J","resource","?","?"
"546712","AAA","2013J","oucontent","?","?"
"546998","AAA","2013J","resource","?","?"
"546888","AAA","2013J","url","?","?"
"547035","AAA","2013J","resource","?","?"
"546614","AAA","2013J","homepage","?","?"
"546897","AAA","2013J","url","?","?"
"546678","AAA","2013J","oucontent","?","?"
"546933","AAA","2013J","resource","?","?"
"546708","AAA","2013J","oucontent","?","?"
"546995","AAA","2013J","resource","?","?"
"546884","AAA","2013J","url","?","?"
"547031","AAA","2013J","resource","?","?"
"546891","AAA","2013J","url","?","?"
"546675","AAA","2013J","oucontent","?","?"
"546927","AAA","2013J","resource","?","?"